mse,train_loss,epoch,step
0.00234048580750823,-42351.64453125,135,6799
0.0025161057710647583,-23967.6796875,136,6849
0.002022626344114542,-56125.4609375,137,6899
0.0023958170786499977,-26161.36328125,138,6949
0.0024206421803683043,-51575.046875,139,6999
0.0019563892856240273,-45751.20703125,140,7049
0.0027051556389778852,-40692.00390625,141,7099
0.00241268752142787,-27019.5703125,142,7149
0.0021547190845012665,-48230.84375,143,7199
0.0017773961881175637,-52888.859375,144,7249
0.002245945855975151,-35356.26171875,145,7299
0.0020437987986952066,-43818.234375,146,7349
0.00246327742934227,-37562.08203125,147,7399
0.002046467736363411,-62954.2734375,148,7449
0.002543459413573146,-32233.125,149,7499
0.0019096758915111423,-39265.69140625,150,7549
0.00221170112490654,-41200.3046875,151,7599
0.0019508631667122245,-47448.203125,152,7649
0.0025851791724562645,-23577.03515625,153,7699
0.0016561156371608377,-58332.3125,154,7749
0.001906073186546564,-63364.34375,155,7799
0.001871338696219027,-44137.6171875,156,7849
0.0019298021215945482,-32910.859375,157,7899
0.00199126242659986,-45782.2734375,158,7949
0.001864818623289466,-35641.765625,159,7999
0.002290892181918025,-49931.234375,160,8049
0.001992024714127183,-39471.0390625,161,8099
0.0018710523145273328,-60561.2890625,162,8149
0.002456294372677803,-56227.4453125,163,8199
0.0030500495340675116,-43622.37109375,164,8249
0.0021159278694540262,-41122.2421875,165,8299
0.002083181869238615,-52829.2578125,166,8349
0.002318388083949685,-37433.1015625,167,8399
0.0024403217248618603,-41288.0546875,168,8449
0.0025695976801216602,-35864.4921875,169,8499
0.002411138266324997,-25019.10546875,170,8549
0.002650986425578594,-26309.740234375,171,8599
0.0017585954628884792,-60791.62890625,172,8649
0.0019367486238479614,-50881.9140625,173,8699
0.0022717327810823917,-39824.04296875,174,8749
0.0021528159268200397,-21620.7109375,175,8799
0.0020895879715681076,-52279.9375,176,8849
0.0019153918838128448,-25952.83984375,177,8899
0.002600854728370905,-36054.8515625,178,8949
0.0021697443444281816,-44521.921875,179,8999
0.0015885871835052967,-53266.40234375,180,9049
0.002940929727628827,-19828.953125,181,9099
0.0023514553904533386,-26244.1171875,182,9149
0.0017977433744817972,-41479.25,183,9199
0.0016434283461421728,-53366.5625,184,9249
0.002340201521292329,-18879.71875,185,9299
0.0024099128786474466,-31186.8359375,186,9349
0.0018022109288722277,-44231.46875,187,9399
0.0023561199195683002,-16821.6640625,188,9449
0.0018454298842698336,-43474.19140625,189,9499
0.0018876385875046253,-46015.9453125,190,9549
0.0017734101274982095,-40623.2578125,191,9599
0.001788235967978835,-61069.671875,192,9649
0.003305440302938223,-31339.7890625,193,9699
0.001886417274363339,-59618.6328125,194,9749
0.0023851876612752676,-32381.939453125,195,9799
0.001990357879549265,-24912.87109375,196,9849
0.0023973891511559486,-33704.11328125,197,9899
0.002540259389206767,-19986.140625,198,9949
0.00200823531486094,-32737.478515625,199,9999
0.0028701694682240486,-36862.2109375,200,10049
0.0014444723492488265,-58736.0390625,201,10099
0.002035393612459302,-31970.728515625,202,10149
0.0022634202614426613,-31763.9140625,203,10199
0.0019975630566477776,-44877.34375,204,10249
0.0024547057691961527,-46773.0546875,205,10299
0.0021938018035143614,-31976.146484375,206,10349
0.0019634910859167576,-32713.552734375,207,10399
0.0015274041797965765,-60269.9296875,208,10449
0.0014538108371198177,-48033.8046875,209,10499
0.0016613451298326254,-48713.5,210,10549
0.001684095710515976,-45200.21875,211,10599
0.0018665571697056293,-48462.734375,212,10649
